name,lat,lon,region,adm_zone
5-я Парковая ул.,55.79290264,37.78772601,Измайлово,ВАО
7-я Парковая ул.,55.79301399,37.7938182,Измайлово,ВАО
Метро «Первомайская»,55.79309877,37.79882395,Измайлово,ВАО
15-я Парковая ул.,55.79343936,37.81981326,Восточное Измайлово,ВАО
Главная ал.,55.7866487,37.76169693,Измайлово,ВАО
Ул. Короленко,55.79949205,37.68612005,Сокольники,ВАО
Новорязанская ул.,55.77232795,37.65776441,Красносельский,ЦАО
Халтуринская ул.,55.79929487,37.72850093,Преображенское,ВАО
Метро «Ш. Энтузиастов»,55.75865873,37.75218526,Соколиная Гора,ВАО
Южный речной вокзал,55.69201734,37.66634392,Нагатинский Затон,ЮАО
Черкизово,55.80230284,37.72689301,Преображенское,ВАО
Нагатинский затон,55.68532783,37.70808591,Нагатинский Затон,ЮАО
Велозаводский рынок,55.71150711,37.66609622,Южнопортовый,ЮВАО
16-я Парковая ул.,55.79370757,37.82154197,Восточное Измайлово,ВАО
"Чертановская улица, 53",55.60246308,37.58945246,Чертаново Южное,ЮАО
15-я Парковая ул.,55.79367591,37.81877179,Восточное Измайлово,ВАО
Ул. Ленинская Слобода,55.71311863,37.66365294,Даниловский,ЮАО
К/т «Первомайский»,55.79345224,37.80513675,Измайлово,ВАО
"Чертановская ул., 28",55.61949019,37.59394526,Чертаново Центральное,ЮАО
7-я Парковая ул.,55.79328531,37.79351143,Измайлово,ВАО
16-я Парковая ул.,55.79348732,37.82240578,Восточное Измайлово,ВАО
"Чертановская ул., 28",55.61971205,37.5937583,Чертаново Центральное,ЮАО
3-я Парковая ул.,55.79287267,37.78237946,Измайлово,ВАО
15-я Парковая улица,55.79367666,37.8196404,Восточное Измайлово,ВАО
Б. Семеновская ул.,55.78106828,37.71572353,Соколиная Гора,ВАО
"Чертановская улица, 53",55.60254477,37.5892918,Чертаново Южное,ЮАО
13-я Парковая ул.,55.79356552,37.81296223,Восточное Измайлово,ВАО
Переведеновский пер.,55.78120327,37.69559672,Басманный,ЦАО
7-я Парковая улица,55.79328374,37.79431249,Измайлово,ВАО
Якорная ул.,55.6871359,37.68246978,Нагатинский Затон,ЮАО
"Бакунинская ул., 84",55.77917108,37.6915218,Басманный,ЦАО
Затонная ул.,55.68321282,37.68259728,Нагатинский Затон,ЮАО
Балакиревский пер.,55.77763099,37.68908509,Басманный,ЦАО
5-я Парковая ул.,55.79309612,37.7888255,Измайлово,ВАО
Поликлиника,55.67789286,37.68555547,Нагатинский Затон,ЮАО
3-я Парковая ул.,55.79299456,37.78351658,Измайлово,ВАО
Спартаковская улица,55.77172232,37.66844717,Басманный,ЦАО
Измайловская пл.,55.79134795,37.7753453,Измайлово,ВАО
2-й троллейбусный парк,55.77233515,37.66338778,Красносельский,ЦАО
Поликлиника,55.67843726,37.68554388,Нагатинский Затон,ЮАО
Управа района Северное Измайлово,55.8030616,37.78949321,Северное Измайлово,ВАО
3-я Парковая улица,55.79265201,37.78253568,Измайлово,ВАО
Затонная ул.,55.68317477,37.68320288,Нагатинский Затон,ЮАО
Монтажная ул.,55.82480968,37.75877062,Метрогородок,ВАО
Консультативно-диагностический центр,55.82301887,37.75532705,Метрогородок,ВАО
Якорная ул.,55.68681487,37.68304223,Нагатинский Затон,ЮАО
Тагильская ул.,55.82072335,37.75089068,Метрогородок,ВАО
Центр детского творчества «Виктория»,55.58898692,37.61070682,Чертаново Южное,ЮАО
37-й квартал Измайлова,55.80378443,37.75854367,Северное Измайлово,ВАО
Плодоовощной комбинат,55.81750915,37.74323705,Метрогородок,ВАО
Метро «Черкизовская»,55.80127436,37.7447977,Преображенское,ВАО
Просп. Буденного,55.75676676,37.74242292,Соколиная Гора,ВАО
Метро «Преображенская пл.»,55.79570127,37.71285109,Преображенское,ВАО
Ул. Гвоздева,55.73564882,37.65666735,Таганский,ЦАО
Метро «Ш. Энтузиастов»,55.75855793,37.75253621,Соколиная Гора,ВАО
Метро «Таганская»,55.73908464,37.65331306,Таганский,ЦАО
"Сиреневый бульв., 4",55.80218456,37.757599,Измайлово,ВАО
К/т «Слава»,55.76271149,37.77334214,Перово,ВАО
Никитинская ул.,55.80217882,37.77543318,Измайлово,ВАО
Ул. Плеханова,55.75935534,37.75667589,Перово,ВАО
3-я Парковая ул.,55.8022689,37.78401125,Измайлово,ВАО
Ул. Гвоздева,55.7355263,37.65614072,Таганский,ЦАО
Метро «Коломенская»,55.67942535,37.66477936,Нагатинский Затон,ЮАО
Управа района Северное Измайлово,55.80239071,37.78876413,Измайлово,ВАО
Преображенская пл.,55.79540062,37.70819217,Преображенское,ВАО
7-я Парковая ул.,55.803099,37.79333608,Северное Измайлово,ВАО
Районный центр «София»,55.80252055,37.79949808,Измайлово,ВАО
11-я Парковая ул.,55.80258572,37.80340309,Измайлово,ВАО
Метро «Южная»,55.62376143,37.60928434,Чертаново Северное,ЮАО
13-я Парковая ул.,55.80268962,37.81293139,Восточное Измайлово,ВАО
Районный центр «София»,55.80316028,37.79785239,Северное Измайлово,ВАО
Сиреневый бульв.,55.80277245,37.81940145,Восточное Измайлово,ВАО
7-я Парковая ул.,55.80241271,37.79495385,Измайлово,ВАО
"Открытое ш., 26",55.82659032,37.76629688,Метрогородок,ВАО
Шарикоподшипниковская ул.,55.72292752,37.6633683,Даниловский,ЮАО
13-я гор. б-ца,55.71682013,37.66380088,Даниловский,ЮАО
Диспансер,55.67546205,37.68773487,Нагатинский Затон,ЮАО
Школа,55.67608251,37.69777275,Нагатинский Затон,ЮАО
Библиотека им. Симонова,55.67844189,37.70466944,Нагатинский Затон,ЮАО
13-я гор. б-ца,55.71833839,37.66393432,Южнопортовый,ЮВАО
Коломенская наб.,55.67523615,37.69381412,Нагатинский Затон,ЮАО
К/т «Первомайский»,55.793198,37.8051935,Восточное Измайлово,ВАО
Метро «Первомайская»,55.79333234,37.79989628,Измайлово,ВАО
"Зеленый просп., 65",55.75282419,37.80753529,Новогиреево,ВАО
Метро «Красносельская»,55.77856544,37.66459734,Красносельский,ЦАО
Метро «Новогиреево»,55.75204273,37.81296254,Новогиреево,ВАО
Метро «Новогиреево»,55.75133023,37.81815909,Новогиреево,ВАО
Краснопрудная ул.,55.7806512,37.66896911,Красносельский,ЦАО
Ф-ка «Буревестник»,55.79073797,37.66054062,Сокольники,ВАО
Костомаровский мост,55.74758664,37.66871308,Таганский,ЦАО
Леснорядская ул.,55.78229457,37.67203621,Красносельский,ЦАО
Д/к Метростроя,55.75108511,37.6655924,Таганский,ЦАО
Преображенская пл.,55.79499915,37.70972651,Преображенское,ВАО
Пл. Земляной Вал,55.76417304,37.65717878,Басманный,ЦАО
Сад им. Баумана,55.76553704,37.661022,Басманный,ЦАО
Сервисный центр «Московский Транспорт» - Ул. Александра Лукьянова,55.76697306,37.6648434,Басманный,ЦАО
37-й квартал Измайлова,55.804173,37.75783557,Гольяново,ВАО
Пл. Разгуляй,55.76932953,37.66947005,Басманный,ЦАО
Метро «Комсомольская»,55.77536176,37.65733149,Красносельский,ЦАО
Монтажная ул.,55.80899848,37.778069,Северное Измайлово,ВАО
"Ул. Шумкина, 26",55.7869912,37.67282824,Сокольники,ВАО
Москва - 2 - тов.,55.78822453,37.66983643,Сокольники,ВАО
"Хабаровская ул., 4",55.81484581,37.82896334,Гольяново,ВАО
Ул. Лобачика,55.78899652,37.66455016,Сокольники,ВАО
Байкальская ул.,55.81692733,37.8272529,Гольяново,ВАО
"Хабаровская ул., 20",55.82475485,37.82475659,Гольяново,ВАО
Маленковская ул.,55.78555024,37.67574847,Сокольники,ВАО
15-я Парковая ул.,55.80780154,37.8180954,Северное Измайлово,ВАО
