name,address,opening_hours,lat,lon,email,full_name,phone_number,web_site,region,adm_zone
Культурный центр «Москвич»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, Волгоградский проспект, дом 46/15",84,55.7079218101187,37.7329113241285,kcmoskvich@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Москвич»,+7 (499) 173-72-78,mskcc.ru,Текстильщики,ЮВАО
Центр культуры и искусства «Меридиан»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Обручева, дом 11",84,55.6601527188458,37.5157840433061,gbuk@meridiancentre.ru,Государственное бюджетное учреждение культуры города Москвы «Центр культуры и искусства «Меридиан»,+7 (495) 333-35-38,meridiancentre.ru,Обручевский,ЮЗАО
Дом Романса,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Новикова, дом 11",72,55.7889150986466,37.4805716983974,domromansa@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Дом Романса»,+7 (499) 197-48-86,domromansa.ru,Щукино,СЗАО
Государственный музей - культурный центр «Интеграция» имени Н.А. Островского»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Саянская улица, дом 6Б",91,55.767118006598,37.827771473035,admin.l@integratsia.com,Государственное бюджетное учреждение культуры города Москвы «Государственный музей - культурный центр «Интеграция» имени Н.А. Островского»,+7 (495) 368-21-58,integratsia.com,Ивановское,ВАО
Культурный центр «ЗИЛ»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Восточная улица, дом 4, корпус 1",84,55.7144607884845,37.6580051891506,Welcome@zilcc.ru,Государственное автономное учреждение культуры города Москвы «Культурный центр ЗИЛ»,+7 (495) 675-17-36,zilcc.ru,Даниловский,ЮАО
Дом культуры «Культурный центр»,"город Москва, Большая Марьинская улица, дом 15, корпус 2, строение 2",65,55.808082632926,37.633274372144,administrator@culturcenter.ru,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Культурный центр»,+7 (499) 348-21-49,culturcenter.ru,Останкинский,СВАО
Культурный центр «Вдохновение»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, Литовский бульвар, дом 7",84,55.613706752027,37.5387730356306,info@v-v-v.ru,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Вдохновение»,+7 (495) 197-71-77,v-v-v.ru,Ясенево,ЮЗАО
Московский продюсерский центр,"город Москва, улица Маршала Малиновского, дом 7",84,55.79097,37.49232,domsech@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Московский продюсерский центр»,+7 (495) 319-70-31,mosproducer.ru,Щукино,СЗАО
Культурный центр «Строгино»,"город Москва, улица Маршала Катукова, дом 15, корпус 2",84,55.809623,37.40239,stroginocc@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Строгино»,+7 (499) 740-10-25,strogino.cc,Строгино,СЗАО
Объединение культурных центров Северо-Восточного административного округа «Дом культуры «Темп»,"город Москва, улица Академика Королёва, дом 8, корпус 1",60,55.8231398125853,37.624571537599,dktemp@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (499) 908-95-95,dktemp.ru,Останкинский,СВАО
Дворец культуры «Содружество»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, Рижский проезд, дом 9",68,55.8159610932084,37.6617094036192,dksodruzhestvo@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (495) 683-43-97,дксодружество.рф,Алексеевский,СВАО
Объединение культурных центров Юго-Западного административного округа Культурный центр «Лира»,"город Москва, улица Брусилова, дом 15, корпус 1",76,55.5022046446074,37.5803820602596,info.lira@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Западного административного округа»,+7 (495) 716-93-36,liracentre.ru,Южное Бутово,ЮЗАО
Объединение культурных центров Юго-Западного административного округа Центр культуры «Сцена»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, улица Островитянова, дом 15, корпус 1",84,55.6397592295736,37.5063665863127,otkrovenie-04@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Западного административного округа»,+7 (495) 330-51-83,otkrovenie-scena.ru,Коньково,ЮЗАО
"Объединение культурных центров Северо-Восточного административного округа, Культурный центр «Северный»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Северный, 3-я Северная линия, дом 17",84,55.939901,37.553435,info@dk-sever.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (499) 767-84-22,dk-sever.ru,Северный,СВАО
"ОКЦ Северо-Восточного административного округа, Московский многофункциональный культурный центр","город Москва, Ярославское шоссе, дом 124",84,55.870731,37.713219,info@m-c-m-c.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (499) 705-60-27,m-c-m-c.ru,Ярославский,СВАО
"Объединение культурных центров Северо-Восточного административного округа, Дом культуры «Смена»","город Москва, улица Корнейчука, дом 38Б",84,55.8975302332158,37.6269022934139,info@dksmena.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (499) 205-59-65,dksmena.ru,Бибирево,СВАО
"Объединение культурных центров Северо-Восточного административного округа, Дом культуры «Юность»","город Москва, Шушенская улица, дом 7",89,55.8694763627969,37.6830677501857,dk-unost@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (495) 184-35-95,unost.msk.ru,Лосиноостровский,СВАО
"Объединение культурных центров Северо-Восточного административного округа, клуб «Молодёжный»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, Снежная улица, дом 13, корпус 1",91,55.862759,37.643061,molodegni.klub@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (499) 180-00-11,klub-molodejnyi.ru,Свиблово,СВАО
"Объединение культурных центров Северо-Восточного административного округа, территориальная клубная система «Товарищ»","город Москва, улица Лескова, дом 30, корпус 1",44,55.886238,37.657223,tkstovarish@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (499) 479-61-72,tks-tovarish.ru,Бибирево,СВАО
"Объединение культурных центров Юго-Западного административного округа, Центр культуры и досуга «Академический»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Шверника, дом 13, корпус 2",70,55.692528,37.589131,akadem.ars-edu@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Западного административного округа»,+7 (499) 126-95-64,academcc.ru,Академический,ЮЗАО
"Объединение культурных центров Центрального административного округа, Культурный центр «Новослободский»","город Москва, улица Сущёвский Вал, дом 10А, строение 2",105,55.790134,37.594202,novoslobodsky@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Центрального административного округа»,+7 (499) 978-38-63,novosl.ru,Тверской,ЦАО
"Объединение культурных центров Северо-Западного административного округа, «Клуб «Атом»","город Москва, улица Маршала Тухачевского, дом 20, строение 2",77,55.784842,37.479723,atomclub_2006@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Западного административного округа»,+7 (499) 192-79-46,clubatom.ru,Хорошёво-Мнёвники,СЗАО
"Объединение культурных центров Юго-Восточного административного округа, Культурный центр имени И.М. Астахова","город Москва, улица Верхние Поля, дом 38, корпус 1",84,55.649255,37.736279,dkastahova@bk.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Восточного административного округа»,+7 (495) 351-59-84,ccart.moscow,Марьино,ЮВАО
"Объединение культурных центров Северо-Западного административного округа, «Культурный центр «Митино»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Митинская улица, дом 17, корпус 4",56,55.841843,37.36651,dkmitino@gmail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Западного административного округа»,+7 (495) 794-05-00,dkmitino.ru,Митино,СЗАО
"Объединение культурных центров Юго-Восточного административного округа, Дворец Культуры «Капотня»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Капотня, 2-й квартал Капотня, дом 20А",91,55.6380921079216,37.7987489804225,dk-kapotnja@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Восточного административного округа»,+7 (495) 355-19-38,dkkapotnya.ru,Капотня,ЮВАО
"Объединение культурных центров Юго-Восточного административного округа, Культурный центр «Лидер»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Лермонтовский проспект, дом 2, корпус 2",91,55.703189,37.844767,mclider@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Восточного административного округа»,+7 (495) 700-95-27,lider.arts.mos.ru,Выхино-Жулебино,ЮВАО
"Объединение культурных центров Северо-Западного административного округа, «Дом культуры «Берендей»","город Москва, улица Народного Ополчения, дом 12, корпус 3",84,55.770148,37.476381,info@dkberendey.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Западного административного округа»,+7 (495) 947-91-93,dkberendey.ru,Хорошёво-Мнёвники,СЗАО
"Объединение культурных центров Юго-Восточного административного округа, Территориальная клубная система «Спутник»","город Москва, Орехово-Зуевский проезд, дом 10",77,55.731241,37.749287,dk-sputnik@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Восточного административного округа»,+7 (499) 170-94-86,tks-sputnik.ru,Нижегородский,ЮВАО
"Объединение культурных центров Юго-Восточного административного округа, Дом Культуры «Заречье»","город Москва, 1-я Вольская улица, дом 11",91,55.683754,37.922386,dkzarechie@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Восточного административного округа»,+7 (495) 706-89-86,dknekrasovka.ru,Некрасовка,ЮВАО
"Объединение культурных центров Восточного административного округа, Централизованная клубная система «Восток»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Новокосино, Суздальская улица, дом 38, корпус 2",84,55.808904,37.726123,artclastervostok@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Восточного административного округа»,+7 (495) 375-99-04,art-vostok.ru,Новокосино,ВАО
"Объединение культурных центров Центрального административного округа, Дом культуры «Гайдаровец»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Яковоапостольский переулок, дом 15",91,55.757347,37.655772,info.gaidarovec@gmail.com,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Центрального административного округа»,+7 (495) 916-13-13,gaidarovec.art,Басманный,ЦАО
"Объединение культурных центров Северо-Западного административного округа, Культурный центр «Алые паруса»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, улица Свободы, дом 91",91,55.866959,37.445733,alyeparusa@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Западного административного округа»,+7 (495) 496-36-70,dk-alyeparusa.ru,Северное Тушино,СЗАО
"Объединение культурных центров Северо-Западного административного округа, «Культурный центр «Салют»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, улица Свободы, дом 37",84,55.840676,37.454109,dksalut@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Западного административного округа»,+7 (499) 492-61-21,kcsalut.ru,Южное Тушино,СЗАО
"Объединение культурных центров Северо-Западного административного округа, «Клуб «Феникс»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Василевского, дом 1, корпус 1",65,55.770665,37.484201,phoenixclub@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Западного административного округа»,+7 (495) 008-76-25,club-fenix.ru,Щукино,СЗАО
"Объединение культурных центров Восточного административного округа, Культурный центр «Акулово»","город Москва, посёлок Акулово, дом 25",55,56.005594,37.797571,gukclublitsey@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Восточного административного округа»,+7 (495) 617-64-14,art-akulovo.ru,Восточный,ВАО
"Объединение культурных центров Восточного административного округа, Культурный центр «Ивановский»","город Москва, Свободный проспект, дом 19",84,55.7588745487995,37.8205714523143,mosartcentre@gmail.com,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Восточного административного округа»,+7 (495) 300-00-07,mosartcentre.ru,Ивановское,ВАО
"Объединение культурных центров Центрального административного округа, Дом культуры «Стимул»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Волгоградский проспект, дом 7",84,55.732729,37.684242,dkstimyl1@mail.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Центрального административного округа»,+7 (495) 670-10-38,dkstimul.ru,Таганский,ЦАО
"Объединение культурных центров Северо-Восточного административного округа, Культурный центр «Марьина роща»","город Москва, Октябрьская улица, дом 58",64,55.7948813997657,37.6134832855314,info@artsvao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (495) 127-71-55,artsvao.ru,Марьина Роща,СВАО
"Объединение культурных центров Новомосковского и Троицкого административных округов, Культурный Центр «Яковлевское»","город Москва, поселение Новофедоровское, деревня Яковлевское, дом 1",98,55.466313,36.940682,yak_dkis@bk.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Новомосковского и Троицкого административных округов»,+7 (495) 842-03-43,yakovlevskoe.com,Новофедоровское,
"Объединение культурных центров Новомосковского и Троицкого административных округов, Дом культуры «Юбилейный»","город Москва, поселение Роговское, посёлок Рогово, Юбилейная улица, дом 1А",58,55.214642,37.074178,muk-sdk@yandex.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Новомосковского и Троицкого административных округов»,+7 (495) 850-98-42,dk-rogovo.com,Роговское,ТАО
