address,area,year,floor,entrance,num_rooms,lat,lon
"пр-кт. Мира, д. 188Б, к. 3, Москва",53253.20,2015,58,1,356,55.8355402,37.6584768
"пер. Чапаевский, д. 3, Москва",256740.60,2006,57,14,992,55.79818205,37.52038218638005
"ул. Мосфильмовская, д. 8, Москва",137500.80,2011,53,2,564,55.72377795,37.527035300180884
"ул. Мосфильмовская, д. 70, Москва",341272.69,2006,50,7,1046,55.7168266,37.5088701
"ул. Авиационная, д. 79, к. 1, Москва",50864.40,2003,49,1,242,55.8055475,37.4482404
"ул. Новодмитровская, д. 2, к. 7, Москва",51636.10,2018,49,2,419,55.8024458,37.5916064
"пр-кт. Ленинский, д. 111, к. 1, Москва",133432.40,2010,48,4,646,55.6616805,37.50939515631741
"пр-кт. Маршала Жукова, д. 78, Москва",83899.20,2011,48,1,345,55.78006355,37.45005831072871
"ул. Новодмитровская, д. 2, к. 5, Москва",44694.30,2018,47,1,431,55.8032287,37.5911578
"ул. Новодмитровская, д. 2, к. 6, Москва",44326.20,2017,47,1,461,55.8031507,37.5917255
"ул. Михневская, д. 8, Москва",270273.30,2013,45,20,2570,55.5796294,37.67159770940653
"ш. Хорошевское, д. 16, к. 1, Москва",25191.10,2008,44,1,224,55.7745696,37.5457817
"ш. Хорошевское, д. 16, к. 2, Москва",26809.30,2008,44,1,296,55.7743298,37.5465488
"ш. Ленинградское, д. 25, к. 2, Москва",37908.00,2012,42,1,327,55.82763115,37.48759457401711
"ул. Дыбенко, д. 38, к. 1, Москва",25675.00,2010,40,1,240,55.87679575,37.48412365315069
"ул. Профсоюзная, д. 64, к. 2, Москва",54832.17,2012,40,1,444,55.6654431,37.547574245345984
"ш. Рублевское, д. 107, Москва",60900.20,2012,40,3,332,55.7439172,37.4192978
"ул. Саляма Адиля, д. 2, к. 1, Москва",45916.90,2011,40,2,204,55.7739763,37.46731385151523
"мкр. Чертаново Северное, д. 1А, Москва",277517.10,2009,39,1,1518,55.637111,37.598523
"ул. Минская, д. 2, Москва",106300.40,2017,39,2,459,55.7253994,37.49714360106742
"ул. Русаковская, д. 31, Москва",127348.80,2009,39,5,492,55.7883793,37.6790674
