name,address,opening_hours,lat,lon,email,full_name,phone_number,web_site,region,adm_zone
Библиотека №140,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 54/21, строение 2",58,55.58396705478,37.685992323696,140libzav@cbsuao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 682-42-22,bibliouao.ru,Бирюлёво Восточное,ЮАО
Библиотека №166 имени 1-го Мая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Ленинский проспект, дом 37А",70,55.708618529789,37.586619245532,166libzav@cbsuao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 682-42-22,bibliouao.ru,Донской,ЮАО
Библиотека №169 «Проспект»,"город Москва, Ленинский проспект, дом 127",58,55.64615629859,37.477928135078,library-169@cbsuzao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Западного административного округа»,+7 (495) 438-95-10,cbsuzao.ru,Тёплый Стан,ЮЗАО
Библиотека №115,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, улица Фёдора Полетаева, дом 28",58,55.7085413278124,37.7829571652886,115@okcuvao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Восточного административного округа»,+7 (495) 379-83-91,cbsuvao.ru,Кузьминки,ЮВАО
Детская библиотека №153,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, Задонский проезд, дом 24, корпус 3",53,55.6216163969357,37.7537252660841,154libzav@cbsuao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 682-42-22,bibliouao.ru,Зябликово,ЮАО
Библиотека №204 - Центр культурного наследия Н. С. Гумилева,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кременчугская улица, дом 22",58,55.7179055692206,37.4613241665065,204@bibliozao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (499) 449-34-03,bibliozao.ru,Фили-Давыдково,ЗАО
Библиотека №24 имени Назыма Хикмета,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, Новопесчаная улица, дом 23, корпус 7",58,55.7929302275649,37.5130023714155,bib24@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (499) 943-51-73,cbssao.ru,Сокол,САО
Библиотека №89,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточный, улица 9 Мая, дом 14",58,55.8172470544614,37.8675572309172,administrator@cbs-vao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Восточного административного округа»,+7 (499) 780-95-73,cbs-vao.ru,Восточный,ВАО
Центральная детская библиотека №152,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Воронежская улица, дом 10",65,55.6091518430855,37.7271003602073,152libzav@cbsuao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Южного административного округа»,+7 (495) 682-42-22,bibliouao.ru,Орехово-Борисово Южное,ЮАО
Библиотека №23 имени М.Горького,"город Москва, Тимирязевская улица, дом 17, корпус 1",58,55.81236883305,37.566800864364,bib23@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (495) 798-44-76,cbssao.ru,Тимирязевский,САО
Библиотека №69,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Корнейчука, дом 40",58,55.897588458578,37.628936227232,biblio69@bibliosvao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северо-Восточного административного округа»,+7 (499) 206-92-74,bibliosvao.ru,Бибирево,СВАО
Детская библиотека №208 - Центр культурного наследия В. И. Даля,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 39, корпус 3",53,55.710742250373,37.3947129244369,208@bibliozao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Западного административного округа»,+7 (495) 447-15-31,bibliozao.ru,Можайский,ЗАО
Библиотека №127,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, улица Чистова, дом 15/15",58,55.6974236863294,37.7437206264585,127@okcuvao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Восточного административного округа»,+7 (499) 179-83-11,cbsuvao.ru,Текстильщики,ЮВАО
Первая детская казачья библиотека № 128 – культурный центр М.А. Шолохова.,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, 8-я улица Текстильщиков, дом 14",53,55.701937362737,37.746293702145,128@okcuvao.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Юго-Восточного административного округа»,+7 (499) 178-57-79,cbsuvao.ru,Текстильщики,ЮВАО
Библиотека №36 Культурный центр Ф. А. Искандера,"город Москва, улица Правды, дом 11",58,55.78586772485,37.578212211505,bib36@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (495) 614-10-52,cbssao.ru,Беговой,САО
Центральная библиотека №21,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, улица Космонавта Волкова, дом 3",70,55.819236729226,37.516483864996,bib21@culture.mos.ru,Государственное бюджетное учреждение культуры города Москвы «Объединение культурных центров Северного административного округа»,+7 (499) 150-07-03,cbssao.ru,Войковский,САО
